key,en,ko,ar,ja,source
"FAQS[3].q","Do I pay through CareBridge or directly at the hospital?","CareBridge을 통해 결제하나요, 병원에서 직접 결제하나요?","هل أدفع من خلال CareBridge أم مباشرةً في المستشفى؟","CareBridge経由で支払うのですか、それとも病院で直接支払うのですか？","data.js"
"FAQS[3].a","You pay a 50% deposit through CareBridge at the time of booking. The remaining balance is settled directly at the hospital after your visit.","예약 시 CareBridge을 통해 50% 예약금을 결제하고, 잔액은 방문 후 병원에서 직접 정산합니다.","تدفع عربونًا بنسبة 50% من خلال CareBridge عند الحجز. تُسدَّد المبلغ المتبقي مباشرةً في المستشفى بعد زيارتك.","予約時にCareBridge経由で50%の予約金をお支払いいただきます。残額はご来院後に病院で直接精算します。","data.js"
"FAQS[4].q","What payment methods are available?","어떤 결제 수단을 사용할 수 있나요?","ما وسائل الدفع المتاحة؟","利用できる決済方法は何ですか？","data.js"
"FAQS[4].a","On the CareBridge website, payments can be made via PayPal or major credit cards. On-site hospital payments accept cards and cash.","CareBridge 웹사이트에서는 PayPal 또는 주요 신용카드로 결제할 수 있습니다. 병원 현장 결제는 카드와 현금이 가능합니다.","على موقع CareBridge، يمكن الدفع عبر PayPal أو بطاقات الائتمان الرئيسية. أما الدفع في المستشفى فيقبل البطاقات والنقد.","CareBridgeのウェブサイトでは、PayPalまたは主要なクレジットカードでお支払いいただけます。病院での現地決済はカードと現金に対応しています。","data.js"
"FAQS[5].q","Can I book Revital treatments on the same trip as my checkup?","검진과 같은 일정에 리바이탈 시술을 예약할 수 있나요?","هل يمكنني حجز علاجات Revital في نفس الرحلة مع فحصي الصحي؟","検診と同じ旅程でRevitalの施術を予約できますか？","data.js"
"FAQS[5].a","Absolutely. Our coordinators schedule Revital procedures around your checkup so you can complete everything in one visit to Korea.","물론입니다. 코디네이터가 검진 일정에 맞춰 리바이탈 시술을 조율하여 한 번의 한국 방문으로 모두 마칠 수 있도록 합니다.","بالتأكيد. ينسّق فريق التنسيق لدينا إجراءات Revital حول موعد فحصك لتتمكن من إنجاز كل شيء في زيارة واحدة إلى كوريا.","もちろんです。コーディネーターが検診の日程に合わせてRevitalの施術を調整し、一度の韓国訪問ですべてを完了できるようにいたします。","data.js"
"FAQ_CATS[0]","All","전체","الكل","すべて","data.js"
"FAQ_CATS[1]","Checkup","검진","الفحوصات","検診","data.js"
"FAQ_CATS[2]","Revital","리바이탈","ريفيتال","Revital","data.js"
"FAQ_CATS[3]","Common","공통","عام","共通","data.js"
"HERO.badge","Korea's trusted medical expertise","한국이 신뢰하는 의료 전문성","الخبرة الطبية الموثوقة في كوريا","韓国が信頼する医療の専門性","data.js"
"HERO.title1","Healthier Tomorrow,","더 건강한 내일,","غدٌ أكثر صحة،","より健康な明日は、","data.js"
"HERO.title2","Begins Today.","오늘 시작됩니다.","يبدأ اليوم.","今日から始まる。","data.js"
"HERO.accent","With CareBridge Global.","CareBridge Global과 함께.","مع CareBridge Global.","CareBridge Globalとともに。","data.js"
"HERO.sub","CareBridge Global offers comprehensive healthcare — from preventive checkups to specialized treatments — powered by Korea's trusted medical expertise.","CareBridge Global은 예방 검진부터 전문 치료까지, 한국이 신뢰하는 의료 전문성을 바탕으로 종합 헬스케어를 제공합니다.","تقدّم CareBridge Global رعاية صحية شاملة — من الفحوصات الوقائية إلى العلاجات المتخصصة — مدعومة بالخبرة الطبية الموثوقة في كوريا.","CareBridge Globalは、予防検診から専門的な治療まで、韓国が信頼する医療の専門性を基盤とした総合ヘルスケアを提供します。","data.js"
"HERO.cta1","Explore services","서비스 둘러보기","استكشف الخدمات","サービスを見る","data.js"
"HERO.cta2","How it works →","이용 방법 →","كيف يعمل →","ご利用方法 →","data.js"
"JOURNEY.eyebrow","How it works","이용 방법","كيف يعمل","ご利用方法","data.js"
"JOURNEY.title","Your Health Journey, Made Simple.","건강 여정, 간편하게.","رحلتك الصحية، بكل بساطة.","あなたの健康の旅を、シンプルに。","data.js"
"JOURNEY.sub","From package selection to hospital visits, every step is arranged with ease.","패키지 선택부터 병원 방문까지, 모든 단계를 손쉽게 준비해 드립니다.","من اختيار الباقة إلى زيارات المستشفى، كل خطوة مُرتَّبة بسهولة.","パッケージ選びから病院への訪問まで、あらゆるステップを手軽にご準備いたします。","data.js"
"JOURNEY.steps[0]","Select your preferred package","원하는 패키지를 선택하세요","اختر الباقة المفضلة لديك","ご希望のパッケージを選択","data.js"
"JOURNEY.steps[1]","Choose your reservation date and submit","예약 날짜를 선택하고 신청하세요","اختر تاريخ الحجز وأرسل الطلب","予約日を選択して申し込み","data.js"
"JOURNEY.steps[2]","Our coordinator confirms details and finalizes options","코디네이터가 세부사항을 확인하고 옵션을 확정합니다","يؤكّد منسّقنا التفاصيل ويعتمد الخيارات","コーディネーターが詳細を確認しオプションを確定","data.js"
"JOURNEY.steps[3]","Receive your reservation confirmation","예약 확정을 받으세요","استلم تأكيد حجزك","予約確定の連絡を受け取る","data.js"
"JOURNEY.steps[4]","Hospital visit","병원 방문","زيارة المستشفى","病院への訪問","data.js"
"NAV[0]","Home","홈","الرئيسية","ホーム","data.js"
"NAV[1]","Company","회사소개","الشركة","会社紹介","data.js"
"NAV[2]","Service","서비스","الخدمات","サービス","data.js"
"NAV[2].children[0]","Treatments (Book)","시술 예약","العلاجات (الحجز)","施術予約","data.js"
"NAV[2].children[1]","Health Check-up","건강검진","الفحص الصحي","健康診断","data.js"
"NAV[2].children[2]","Revital","리바이탈","ريفيتال","Revital","data.js"
"NAV[2].children[3]","Transportation","교통","النقل","交通","data.js"
"NAV[2].children[4]","Accommodation","숙박","الإقامة","宿泊","data.js"
"NAV[2].children[5]","Tour","투어","الجولات","ツアー","data.js"
"NAV[2].children[6]","Association","제휴","الشراكات","提携","data.js"
"NAV[3]","Providers","파트너 병원","المستشفيات الشريكة","提携病院","data.js"
"NAV[4]","Contact Us","문의하기","اتصل بنا","お問い合わせ","data.js"
"NAV[5]","FAQ","자주 묻는 질문","الأسئلة الشائعة","よくある質問","data.js"
"NAV[6]","Blog","블로그","المدونة","ブログ","data.js"
"PROCEDURES[0].dept","Ophthalmology","안과","طب العيون","眼科","data.js"
"PROCEDURES[0].hospital.name","Gangnam Seoul Bright Eye Clinic","강남서울밝은안과","Gangnam Seoul Bright Eye Clinic","Gangnam Seoul Bright Eye Clinic","data.js"
"PROCEDURES[0].hospital.city","Gangnam, Seoul","서울 강남","غانغنام، سول","ソウル・江南","data.js"
"PROCEDURES[0].name","SMILE LASIK","스마일 라식","SMILE LASIK","SMILE LASIK","data.js"
"PROCEDURES[0].summary","Minimally-invasive vision correction through a tiny incision — fast recovery, low dry-eye risk.","작은 절개를 통한 최소 침습 시력 교정 — 빠른 회복, 낮은 안구건조 위험.","تصحيح للنظر بتدخل جراحي طفيف عبر شق صغير — تعافٍ سريع وخطر منخفض لجفاف العين.","小さな切開で行う低侵襲の視力矯正 — 早い回復、低いドライアイリスク。","data.js"
"PROCEDURES[0].duration","1–2 days in Korea","한국 체류 1–2일","1–2 يوم في كوريا","韓国滞在1〜2日","data.js"
"PROCEDURES[0].recovery","48h recovery","48시간 회복","تعافٍ خلال 48 ساعة","48時間で回復","data.js"
"PROCEDURES[0].includes[0]","Pre-op eye examination","수술 전 정밀 검사","فحص العين قبل الجراحة","術前精密検査","data.js"
"PROCEDURES[0].includes[1]","SMILE laser procedure (both eyes)","스마일 레이저 시술(양안)","إجراء ليزر SMILE (كلتا العينين)","SMILE LASIK施術(両眼)","data.js"
"PROCEDURES[0].includes[2]","Protective eyewear kit","보호 안경 키트","طقم نظارات واقية","保護メガネキット","data.js"
"PROCEDURES[0].includes[3]","Next-day check-up","익일 경과 검진","فحص متابعة في اليوم التالي","翌日の経過検診","data.js"
"PROCEDURES[0].options[0].group","Add-on examination","추가 검사","فحص إضافي","追加検査","data.js"
"PROCEDURES[0].options[0].items[0]","Dry-eye screening","안구건조 검사","فحص جفاف العين","ドライアイ検査","data.js"
"PROCEDURES[0].options[0].items[1]","Corneal topography","각막 지형도 검사","تضاريس القرنية","角膜形状解析(トポグラフィー)","data.js"
"PROCEDURES[0].steps[0]","Detailed pre-op exam","정밀 사전 검사","فحص دقيق قبل الجراحة","術前精密検査","data.js"
"PROCEDURES[0].steps[1]","Surgeon consultation","집도의 상담","استشارة الجراح","執刀医との相談","data.js"
"PROCEDURES[0].steps[2]","SMILE procedure (~15 min)","스마일 시술(~15분)","إجراء SMILE (~15 دقيقة)","SMILE施術(~15分)","data.js"
"PROCEDURES[0].steps[3]","Same-day discharge","당일 퇴원","الخروج في نفس اليوم","当日退院","data.js"
"PROCEDURES[0].steps[4]","Next-day check-up","익일 경과 검진","فحص متابعة في اليوم التالي","翌日の経過検診","data.js"
"PROCEDURES[0].prepare[0]","Stop wearing contact lenses 1 week prior","1주 전부터 콘택트렌즈 착용 중단","التوقف عن ارتداء العدسات اللاصقة قبل أسبوع واحد","1週間前からコンタクトレンズの装用を中止してください","data.js"
"PROCEDURES[0].prepare[1]","Arrange someone to accompany you home","귀가 시 동반자 준비","رتّب مرافقاً يعيدك إلى المنزل","帰宅時の付き添い者をご準備ください","data.js"
"PROCEDURES[1].dept","Dental","치과","طب الأسنان","歯科","data.js"
"PROCEDURES[1].hospital.name","Apgujeong Premium Dental","압구정 프리미엄 치과","عيادة أبغوجيونغ بريميوم لطب الأسنان","狎鴎亭プレミアム歯科","data.js"
"PROCEDURES[1].hospital.city","Gangnam, Seoul","서울 강남","غانغنام، سيول","ソウル・江南","data.js"
"PROCEDURES[1].name","Dental Implant","임플란트","زراعة الأسنان","デンタルインプラント","data.js"
"PROCEDURES[1].summary","Premium titanium implants with digital 3D guided placement and natural-look crowns.","디지털 3D 가이드 식립과 자연스러운 크라운의 프리미엄 티타늄 임플란트.","زراعات تيتانيوم فاخرة مع وضع موجّه رقمياً ثلاثي الأبعاد وتيجان بمظهر طبيعي.","デジタル3Dガイド埋入と自然な見た目のクラウンを備えた、プレミアムチタンインプラント。","data.js"
"PROCEDURES[1].duration","2 visits over 3 months","3개월간 2회 방문","زيارتان على مدى 3 أشهر","3か月で2回来院","data.js"
"PROCEDURES[1].recovery","~1 month","약 1개월","~1 شهر","約1か月","data.js"
"PROCEDURES[1].includes[0]","3D CT scan & planning","3D CT 촬영·계획","تصوير CT ثلاثي الأبعاد وتخطيط","3D CT撮影・計画","data.js"
"PROCEDURES[1].includes[1]","Implant fixture & abutment","임플란트 픽스처·지대주","دعامة الزرعة والغرسة","インプラントフィクスチャー・アバットメント","data.js"
"PROCEDURES[1].includes[2]","Zirconia crown","지르코니아 크라운","تاج زركونيا","ジルコニアクラウン","data.js"
"PROCEDURES[1].includes[3]","Follow-up cleaning","사후 스케일링","تنظيف للمتابعة","アフターケアのクリーニング","data.js"
"PROCEDURES[1].options[0].group","Crown material","크라운 재질","خامة التاج","クラウンの素材","data.js"
"PROCEDURES[1].options[0].items[0]","Zirconia","지르코니아","زركونيا","ジルコニア","data.js"
"PROCEDURES[1].options[0].items[1]","Gold","골드","ذهب","ゴールド","data.js"
"PROCEDURES[1].steps[0]","Consultation & 3D scan","상담·3D 스캔","استشارة ومسح ثلاثي الأبعاد","相談・3Dスキャン","data.js"
"PROCEDURES[1].steps[1]","Fixture placement","픽스처 식립","وضع الغرسة","フィクスチャー埋入","data.js"
"PROCEDURES[1].steps[2]","Healing period","골유착 기간","فترة الالتئام","治癒期間","data.js"
"PROCEDURES[1].steps[3]","Crown fitting","크라운 장착","تركيب التاج","クラウン装着","data.js"
"PROCEDURES[1].prepare[0]","Bring previous dental records if any","기존 치과 기록 지참(있을 경우)","أحضر سجلاتك السنية السابقة إن وُجدت","過去の歯科記録があればご持参ください","data.js"
"PROCEDURES[1].prepare[1]","Avoid smoking before and after","전후 흡연 자제","تجنّب التدخين قبل الإجراء وبعده","施術前後は喫煙をお控えください","data.js"
"PROCEDURES[2].dept","Dermatology","피부과","الأمراض الجلدية","皮膚科","data.js"
"PROCEDURES[2].hospital.name","Cheongdam Glow Dermatology","청담 글로우 피부과","عيادة تشونغدام غلو للأمراض الجلدية","清潭グロウ皮膚科","data.js"
"PROCEDURES[2].hospital.city","Gangnam, Seoul","서울 강남","غانغنام، سيول","ソウル・江南","data.js"
"PROCEDURES[2].name","Skin Rejuvenation Laser","피부 재생 레이저","ليزر تجديد البشرة","肌再生レーザー","data.js"
"PROCEDURES[2].summary","Tone-and-texture laser program for brightening, pores and fine lines.","톤·결 개선을 위한 레이저 프로그램 — 미백, 모공, 잔주름.","برنامج ليزر لتحسين اللون والملمس — التفتيح والمسام والخطوط الدقيقة.","トーンとキメを整えるレーザープログラム — 美白、毛穴、小じわに。","data.js"
"PROCEDURES[2].duration","Half-day","반나절","نصف يوم","半日","data.js"
"PROCEDURES[2].recovery","2–3 days","2–3일","2–3 أيام","2~3日","data.js"
"PROCEDURES[2].includes[0]","Skin analysis","피부 분석","تحليل البشرة","肌分析","data.js"
"PROCEDURES[2].includes[1]","Laser session","레이저 시술","جلسة ليزر","レーザー施術","data.js"
"PROCEDURES[2].includes[2]","Soothing care","진정 케어","عناية مهدّئة","鎮静ケア","data.js"
"PROCEDURES[2].includes[3]","Aftercare kit","사후 케어 키트","طقم العناية اللاحقة","アフターケアキット","data.js"
"PROCEDURES[2].options[0].group","Laser type","레이저 종류","نوع الليزر","レーザーの種類","data.js"
"PROCEDURES[2].options[0].items[0]","Pico toning","피코 토닝","بيكو تونينغ","ピコトーニング","data.js"
"PROCEDURES[2].options[0].items[1]","Fractional","프락셔널","فراكشنال","フラクショナル","data.js"
"PROCEDURES[2].steps[0]","Skin analysis","피부 분석","تحليل البشرة","肌分析","data.js"
"PROCEDURES[2].steps[1]","Numbing cream","마취 크림","كريم مخدّر","麻酔クリーム","data.js"
"PROCEDURES[2].steps[2]","Laser session","레이저 시술","جلسة ليزر","レーザー施術","data.js"
"PROCEDURES[2].steps[3]","Soothing care","진정 케어","عناية مهدّئة","鎮静ケア","data.js"
"PROCEDURES[2].prepare[0]","Avoid sun exposure 3 days prior","3일 전 햇빛 노출 자제","تجنّب التعرّض للشمس قبل 3 أيام","3日前から日焼けをお控えください","data.js"
"PROCEDURES[2].prepare[1]","No retinol 1 week prior","1주 전 레티놀 사용 중단","لا تستخدم الريتينول قبل أسبوع","1週間前からレチノールの使用を中止してください","data.js"
"PROCEDURES[3].dept","Health Check-up","건강검진","الفحص الطبي","健康診断","data.js"
"PROCEDURES[3].hospital.name","Seoul Premier Health Center","서울 프리미어 검진센터","مركز سيول بريمير الصحي","ソウルプレミア健診センター","data.js"
"PROCEDURES[3].hospital.city","Jongno, Seoul","서울 종로","جونغنو، سيول","ソウル・鍾路","data.js"
"PROCEDURES[3].name","Comprehensive Check-up","종합 건강검진","فحص شامل","総合健康診断","data.js"
"PROCEDURES[3].summary","Wide-range annual screening — blood, imaging and core organ function.","혈액·영상·핵심 장기 기능을 폭넓게 검사하는 연간 종합검진.","فحص سنوي واسع النطاق — الدم والتصوير ووظائف الأعضاء الأساسية.","血液・画像・主要臓器の機能を幅広く調べる年次総合健診。","data.js"
"PROCEDURES[3].duration","Half-day","반나절","نصف يوم","半日","data.js"
"PROCEDURES[3].recovery","Same day","당일","في اليوم نفسه","当日","data.js"
"PROCEDURES[3].includes[0]","Blood & urine panel","혈액·소변 검사","تحاليل الدم والبول","血液・尿検査","data.js"
"PROCEDURES[3].includes[1]","Abdominal ultrasound","복부 초음파","تصوير البطن بالموجات فوق الصوتية","腹部超音波検査","data.js"
"PROCEDURES[3].includes[2]","Chest X-ray & ECG","흉부 X-ray·심전도","أشعة سينية للصدر وتخطيط القلب","胸部X-ray・心電図","data.js"
"PROCEDURES[3].includes[3]","Specialist consultation","전문의 상담","استشارة اختصاصي","専門医の相談","data.js"
"PROCEDURES[3].options[0].group","Endoscopy options","내시경 옵션","خيارات التنظير","内視鏡オプション","data.js"
"PROCEDURES[3].options[0].items[0]","Gastroscopy","위내시경","تنظير المعدة","胃内視鏡検査","data.js"
"PROCEDURES[3].options[0].items[1]","Colonoscopy","대장내시경","تنظير القولون","大腸内視鏡検査","data.js"
"PROCEDURES[3].options[0].items[2]","Sedation","수면","التخدير","鎮静(眠りながら)","data.js"
"PROCEDURES[3].steps[0]","Fasting from midnight","전날 자정부터 금식","الصيام من منتصف الليل","前日の深夜から絶食","data.js"
"PROCEDURES[3].steps[1]","Check-in & samples","접수·검체 채취","التسجيل وأخذ العينات","受付・検体採取","data.js"
"PROCEDURES[3].steps[2]","Imaging & scopes","영상·내시경","التصوير والتنظير","画像検査・内視鏡","data.js"
"PROCEDURES[3].steps[3]","Doctor consultation","의사 상담","استشارة الطبيب","医師の相談","data.js"
"PROCEDURES[3].prepare[0]","Fast for 8 hours before","검사 8시간 전 금식","صُم لمدة 8 ساعات قبل الفحص","検査の8時間前から絶食してください","data.js"
"PROCEDURES[3].prepare[1]","Bring photo ID","신분증 지참","أحضر هوية مصوّرة","写真付き身分証をご持参ください","data.js"
"PROCEDURES[4].dept","Health Check-up","건강검진","الفحص الطبي","健康診断","data.js"
"PROCEDURES[4].hospital.name","Seoul Premier Health Center","서울 프리미어 검진센터","مركز سيول بريمير الصحي","ソウルプレミア健診センター","data.js"
"PROCEDURES[4].hospital.city","Jongno, Seoul","서울 종로","جونغنو، سيول","ソウル・鍾路","data.js"
"PROCEDURES[4].name","Whole Body MRI Check-up","전신 MRI 검진","فحص الجسم بالكامل بالـ MRI","全身MRI健診","data.js"
"PROCEDURES[4].summary","Full-body MRI to detect tumors and abnormalities early — no radiation, high resolution.","종양·이상을 조기에 발견하는 전신 MRI — 방사선 없이 고해상도.","تصوير كامل للجسم بالـ MRI للكشف المبكر عن الأورام والحالات غير الطبيعية — بدون إشعاع ودقة عالية.","腫瘍や異常を早期に発見する全身MRI — 放射線を使わず高解像度。","data.js"
"PROCEDURES[4].duration","Half-day","반나절","نصف يوم","半日","data.js"
"PROCEDURES[4].recovery","Same day","당일","في اليوم نفسه","当日","data.js"
"PROCEDURES[4].includes[0]","Whole-body MRI","전신 MRI","تصوير الجسم بالكامل بالـ MRI","全身MRI","data.js"
"PROCEDURES[4].includes[1]","Brain & spine MRI","뇌·척추 MRI","تصوير الدماغ والعمود الفقري بالـ MRI","脳・脊椎MRI","data.js"
"PROCEDURES[4].includes[2]","MRA vascular screening","MRA 혈관 검사","فحص الأوعية بالـ MRA","MRA血管検査","data.js"
"PROCEDURES[4].includes[3]","Radiologist reading","영상의학과 판독","قراءة اختصاصي الأشعة","放射線科医の読影","data.js"
"PROCEDURES[4].options[0].group","Add-on","추가 검사","إضافة اختيارية","追加検査","data.js"
"PROCEDURES[4].options[0].items[0]","PET-CT","PET-CT","PET-CT","PET-CT","data.js"
"PROCEDURES[4].options[0].items[1]","Cardiac MRI","심장 MRI","تصوير القلب بالـ MRI","心臓MRI","data.js"
"PROCEDURES[4].steps[0]","Check-in","접수","التسجيل","受付","data.js"
"PROCEDURES[4].steps[1]","MRI scan (~60 min)","MRI 촬영(~60분)","مسح MRI (~60 دقيقة)","MRI撮影(~60分)","data.js"
"PROCEDURES[4].steps[2]","Radiologist reading","영상의학과 판독","قراءة اختصاصي الأشعة","放射線科医の読影","data.js"
"PROCEDURES[4].steps[3]","Result consultation","결과 상담","استشارة النتائج","結果の相談","data.js"
"PROCEDURES[4].prepare[0]","Remove all metal items","금속류 모두 제거","أزل جميع الأغراض المعدنية","金属類はすべて外してください","data.js"
"PROCEDURES[4].prepare[1]","Inform staff of implants","체내 삽입물 사전 고지","أبلغ الطاقم بأي غرسات في جسمك","体内インプラントがある場合はスタッフにお申し出ください","data.js"
"PROCEDURES[5].dept","Hair Transplant","모발이식","زراعة الشعر","植毛","data.js"
"PROCEDURES[5].hospital.name","Seoul Forest Hair Clinic","서울숲 모발센터","عيادة سيول فورست للشعر","ソウルフォレスト毛髪センター","data.js"
"PROCEDURES[5].hospital.city","Seongdong, Seoul","서울 성동","سونغدونغ، سيول","ソウル・城東","data.js"
"PROCEDURES[5].name","FUE Hair Transplant","FUE 모발이식","زراعة الشعر بتقنية FUE","FUE植毛","data.js"
"PROCEDURES[5].summary","Follicular-unit extraction with natural hairline design.","자연스러운 헤어라인 디자인의 모낭단위 채취 이식.","اقتطاف الوحدات الجريبية مع تصميم خط شعر طبيعي.","自然なヘアライン設計による毛包単位採取(FUE)植毛。","data.js"
"PROCEDURES[5].duration","1 day","1일","يوم واحد","1日","data.js"
"PROCEDURES[5].recovery","1–2 weeks","1–2주","1–2 أسبوع","1〜2週間","data.js"
"PROCEDURES[5].includes[0]","Hairline design","헤어라인 디자인","تصميم خط الشعر","ヘアライン デザイン","data.js"
"PROCEDURES[5].includes[1]","FUE extraction & graft","FUE 채취·이식","اقتطاف وزراعة بتقنية FUE","FUE 採取・移植","data.js"
"PROCEDURES[5].includes[2]","Post-op medication","수술 후 약 처방","أدوية ما بعد الجراحة","術後の投薬","data.js"
"PROCEDURES[5].includes[3]","Follow-up","경과 관찰","متابعة","経過観察","data.js"
"PROCEDURES[5].options[0].group","Graft count","이식 모수","عدد البُصيلات المزروعة","移植株数","data.js"
"PROCEDURES[5].options[0].items[0]","2,000 grafts","2,000모","2,000 بُصيلة","2,000株","data.js"
"PROCEDURES[5].options[0].items[1]","3,000 grafts","3,000모","3,000 بُصيلة","3,000株","data.js"
"PROCEDURES[5].steps[0]","Consultation & design","상담·디자인","الاستشارة والتصميم","カウンセリング・デザイン","data.js"
"PROCEDURES[5].steps[1]","Donor extraction","공여부 채취","استخلاص من المنطقة المانحة","ドナー採取","data.js"
"PROCEDURES[5].steps[2]","Implantation","식모","الزراعة","植毛","data.js"
"PROCEDURES[5].steps[3]","Aftercare guide","사후관리 안내","دليل الرعاية اللاحقة","アフターケア案内","data.js"
"PROCEDURES[5].prepare[0]","Avoid alcohol 3 days prior","3일 전 음주 자제","تجنّب الكحول قبل 3 أيام","3日前から飲酒を控える","data.js"
"PROCEDURES[5].prepare[1]","Wash hair the morning of","당일 아침 머리 감기","اغسل شعرك صباح يوم العملية","当日の朝に洗髪する","data.js"
"PROVIDERS[0].name","Hangang Medical Center","한강메디컬센터","Hangang Medical Center","サムスンソウル病院","data.js"
"PROVIDERS[0].area","Gangnam-gu, Seoul","서울 강남구","قانغنام-قو، سيول","ソウル特別市 江南区","data.js"
"PROVIDERS[0].blurb","A leading tertiary hospital, recognized for oncology, cardiac care, and executive health programs. International Health Services with English, Mandarin, and Russian coordinators.","종양학·심장 치료·임원 건강검진으로 잘 알려진 대표 3차 병원. 국제진료센터에 영어·중국어·러시아어 코디네이터가 상주합니다.","مستشفى ثالثي رائد، معروف بعلاج الأورام ورعاية القلب وبرامج الفحص الصحي للمديرين التنفيذيين. تضم خدمات الرعاية الصحية الدولية منسّقين يتحدثون الإنجليزية والصينية والروسية.","腫瘍学・心臓治療・エグゼクティブ健診プログラムで高く評価される、韓国有数の第三次医療機関。国際診療センターには英語・中国語・ロシア語のコーディネーターが常駐しています。","data.js"
"PROVIDERS[1].name","Songpa Medical Center","송파의료원","Songpa Medical Center","ソウルアサン病院","data.js"
"PROVIDERS[1].area","Songpa-gu, Seoul","서울 송파구","سونغبا-قو، سيول","ソウル特別市 松坡区","data.js"
"PROVIDERS[1].blurb","Korea's largest tertiary hospital, renowned for liver transplantation, cardiothoracic surgery, and premium executive screening. 24-hour international coordinator line.","국내 최대 규모의 상급종합병원으로, 간 이식·흉부외과·프리미엄 건강검진 분야에서 세계적 명성을 얻고 있습니다. 24시간 국제진료 핫라인 운영.","أكبر مستشفى ثالثي في كوريا، يشتهر بزراعة الكبد وجراحة القلب والصدر والفحوصات المتميّزة للمديرين التنفيذيين. خط منسّقين دوليين على مدار 24 ساعة.","韓国最大規模の第三次医療機関で、肝移植・心臓胸部外科・プレミアム エグゼクティブ健診の分野で世界的に知られています。24時間対応の国際診療ホットラインを運営。","data.js"
"PROVIDERS[2].name","Sinchon University Hospital","신촌대학교병원","Sinchon University Hospital","セブランス病院（延世）","data.js"
"PROVIDERS[2].area","Seodaemun-gu, Seoul","서울 서대문구","سيوديمون-قو، سيول","ソウル特別市 西大門区","data.js"
"PROVIDERS[2].blurb","Korea's oldest Western-style hospital, affiliated with Yonsei University College of Medicine. Strong in ophthalmology, robotic surgery, and women's health.","국내 최초의 서양식 병원으로, 연세대학교 의과대학 부속병원. 안과·로봇 수술·여성건강 분야에서 강세를 보입니다.","أقدم مستشفى على النمط الغربي في كوريا، تابع لكلية الطب بجامعة يونسي. متميّز في طب العيون والجراحة الروبوتية وصحة المرأة.","韓国最古の西洋式病院で、延世大学校医科大学の付属病院。眼科・ロボット手術・女性の健康の分野に強みを持ちます。","data.js"
"PROVIDERS[3].name","Seocho Sacred Heart Hospital","서초성심병원","Seocho Sacred Heart Hospital","ソウル聖母病院","data.js"
"PROVIDERS[3].area","Seocho-gu, Seoul","서울 서초구","سيوتشو-قو، سيول","ソウル特別市 瑞草区","data.js"
"PROVIDERS[3].blurb","a leading university-affiliated hospital, known for hematology, bone marrow transplantation, and maternal-fetal medicine.","대표적인 대학 부속병원으로, 혈액학·조혈모세포 이식·모체태아의학에서 두각을 나타냅니다.","المستشفى الرائد للجامعة الكاثوليكية في كوريا، معروف بأمراض الدم وزراعة نخاع العظم وطب الأم والجنين.","カトリック大学校を代表する付属病院で、血液学・造血幹細胞移植・母体胎児医学で高い評価を得ています。","data.js"
"PROVIDERS[4].name","Apgujeong Line Plastic Surgery","압구정라인성형외과","Apgujeong Line Plastic Surgery","JK整形外科","data.js"
"PROVIDERS[4].area","Gangnam-gu, Seoul","서울 강남구","قانغنام-قو، سيول","ソウル特別市 江南区","data.js"
"PROVIDERS[4].blurb","Boutique plastic-surgery center on Apgujeong Rodeo, serving international patients since 2000. In-house interpreters and pickup service standard.","압구정 로데오 거리에 위치한 프리미엄 성형외과. 2000년부터 해외 환자를 진료해왔으며, 통역·픽업 서비스가 기본 제공됩니다.","مركز جراحة تجميل راقٍ في أبغوجيونغ روديو، يخدم المرضى الدوليين منذ عام 2000. مترجمون داخليون وخدمة توصيل قياسية.","狎鴎亭ロデオに位置するブティック型の美容外科センター。2000年以来、海外の患者を診療しており、専属通訳と送迎サービスを標準で提供します。","data.js"
"PROVIDERS[5].name","Gangnam Bright Dental Clinic","강남브라이트치과","Gangnam Bright Dental Clinic","オラクル歯科クリニック（江南）","data.js"
"PROVIDERS[5].area","Gangnam-gu, Seoul","서울 강남구","قانغنام-قو، سيول","ソウル特別市 江南区","data.js"
"PROVIDERS[5].blurb","Premium multi-specialty dental group. Implants, digital veneers, clear-aligner ortho, full-mouth rehabilitation.","강남 플래그십을 둔 프리미엄 복합 치과 그룹. 임플란트·디지털 라미네이트·투명교정·풀마우스 치료.","مجموعة أسنان متميّزة متعددة التخصصات. زراعة الأسنان، والفينير الرقمي، وتقويم الأسنان الشفاف، وإعادة تأهيل الفم الكامل.","プレミアムな複合診療型の歯科グループ。インプラント、デジタル ラミネート、マウスピース矯正、フルマウス リハビリテーションに対応。","data.js"
"PROVIDERS[6].name","Jongno Central Hospital","종로중앙병원","Jongno Central Hospital","ソウル大学校病院","data.js"
"PROVIDERS[6].area","Jongno-gu, Seoul","서울 종로구","جونغنو-قو، سيول","ソウル特別市 鍾路区","data.js"
"PROVIDERS[6].blurb","Korea's leading public tertiary hospital, with an international healthcare center and rare-disease clinic.","국내 대표 공공 상급종합병원으로, 국제진료센터와 희귀질환 클리닉을 운영합니다.","المستشفى العام الثالثي الرائد في كوريا، ويضم مركزًا للرعاية الصحية الدولية وعيادة للأمراض النادرة.","韓国を代表する公共の第三次医療機関で、国際診療センターと希少疾患クリニックを運営しています。","data.js"
"PROVIDER_DEPTS[0]","Health Screening","건강검진","الفحص الصحي","健康診断","data.js"
